oclc_num,bibnumber,last_update,creator,title,extent,match_type,terms,context_snippets,rule_ids
(OCoLC)ocn954200556,279625,20240722163223.0,"Hogarth, William,1697-1764,engraver.",Chairing the Members[print] /engrav'd by W. Hogarth & F. Aviline [sic].,1 print :engraving ;image: 15 11/16 x 21 5/16 inches (399 x 542 mm); sheet: 16 15/16 x 22 inches (430 x 559 mm),summary,celebrated,"Scene in a country town with two newly-elected members of parliament (one a representation of George Bubb Doddington, the other visible only as a shadow on a distant wall) carried shoulder-high along the street, led by a blind and ragged fiddler and surrounded by a chaotic and disreputable crowd; two chimney boys sit on the church wall, a dancing-bear interferes with a donkey's load and is about to be clubbed by the driver, the one-legged bear-leader (dressed in sailor's clothes) is engaged in a fight with a man swinging a flail, a rifle slung over a monkey's shoulder discharges to the horror of a black serving woman, a sow and her piglets up-end a woman as they charge across the street, a soldier stripped to the waist for a boxing bout is taking tobacco from a wrapper; to right, dishes of food are being carried into an elegant house where victory is being celebrated.",Aggrandizement
(OCoLC)ocn954201265,279543,20240722163229.0,NULL,The death of the foxes[print] /engravd for the Oxford magazine.,1 print :etching ;plate mark: 7 1/8 x 4 7/16 inches (181 x 112 mm); image: 6 7/16 x 3 13/16 inches (163 x 97 mm); sheet: 7 1/2 x 4 9/16 inches (190 x 116 mm),summary,wife,"Two large foxes suspended by their necks from a gallows, while on the ground beloe geese hiss at theml a cock crows triumphantly; sheep and goats look on with apparent pleasure; and, in the distance, a farmer and his wife contemplate the scene with glee. The satire was published in February and referes doubtless to the resignation of some of the ministers who were allied with the Duke of Grafton, including probably the Duke of Bedford. The farmer and his wife may be the King and Queen.",GenderTerms
(OCoLC)ocn954201265,279543,20240722163229.0,NULL,The death of the foxes[print] /engravd for the Oxford magazine.,1 print :etching ;plate mark: 7 1/8 x 4 7/16 inches (181 x 112 mm); image: 6 7/16 x 3 13/16 inches (163 x 97 mm); sheet: 7 1/2 x 4 9/16 inches (190 x 116 mm),summary,wife,"Two large foxes suspended by their necks from a gallows, while on the ground beloe geese hiss at theml a cock crows triumphantly; sheep and goats look on with apparent pleasure; and, in the distance, a farmer and his wife contemplate the scene with glee. The satire was published in February and referes doubtless to the resignation of some of the ministers who were allied with the Duke of Grafton, including probably the Duke of Bedford. The farmer and his wife may be the King and Queen.",GenderTerms
(OCoLC)ocn954201286,279567,20240722163230.0,NULL,Virtue disgrac'd March 1771[print] ;Vice triumphant March 1771.,1 print :etching ;plate mark: 6 11/16 x 4 7/16 inches (170 x 113 mm); image: 6 x 3 11/16 inches (152 x 93 mm); sheet: 7 1/16 x 4 5/8 inches (180 x 117 mm),summary,foremost,"A design in two compartments. Above is 'Virtue' imprisoned in the Tower. A head looks from each of two barred windows. At the gate stand Britannia and Liberty; above their heads are cherubs in an arch of clouds. In the lower compartment Westminster magistrates and constables stand on the steps of a portico, surmounted by clouds and two demons protecting 'Vice', the House of Commons. The two foremost figures are wearing the portcullis badge of the arms of the City of Westminster suspended from their necks, one holds a paper inscribed ""Riot Act"". Behind are constables with staves, behind again figures in the doorway, one with a staff. The upper compartment represents the imprisonment of Crosby, the Lord Mayor, and Alderman Oliver. The lower compartment represents the serious riot at Westminster on 27 March, when the Lord Mayor went from the Mansion House to the House of Commons where he was committed to the Tower.",Aggrandizement
(OCoLC)ocn954201286,279567,20240722163230.0,NULL,Virtue disgrac'd March 1771[print] ;Vice triumphant March 1771.,1 print :etching ;plate mark: 6 11/16 x 4 7/16 inches (170 x 113 mm); image: 6 x 3 11/16 inches (152 x 93 mm); sheet: 7 1/16 x 4 5/8 inches (180 x 117 mm),summary,Riot,"A design in two compartments. Above is 'Virtue' imprisoned in the Tower. A head looks from each of two barred windows. At the gate stand Britannia and Liberty; above their heads are cherubs in an arch of clouds. In the lower compartment Westminster magistrates and constables stand on the steps of a portico, surmounted by clouds and two demons protecting 'Vice', the House of Commons. The two foremost figures are wearing the portcullis badge of the arms of the City of Westminster suspended from their necks, one holds a paper inscribed ""Riot Act"". Behind are constables with staves, behind again figures in the doorway, one with a staff. The upper compartment represents the imprisonment of Crosby, the Lord Mayor, and Alderman Oliver. The lower compartment represents the serious riot at Westminster on 27 March, when the Lord Mayor went from the Mansion House to the House of Commons where he was committed to the Tower.",RaceEuphemisms
(OCoLC)ocn954201286,279567,20240722163230.0,NULL,Virtue disgrac'd March 1771[print] ;Vice triumphant March 1771.,1 print :etching ;plate mark: 6 11/16 x 4 7/16 inches (170 x 113 mm); image: 6 x 3 11/16 inches (152 x 93 mm); sheet: 7 1/16 x 4 5/8 inches (180 x 117 mm),summary,riot,"A design in two compartments. Above is 'Virtue' imprisoned in the Tower. A head looks from each of two barred windows. At the gate stand Britannia and Liberty; above their heads are cherubs in an arch of clouds. In the lower compartment Westminster magistrates and constables stand on the steps of a portico, surmounted by clouds and two demons protecting 'Vice', the House of Commons. The two foremost figures are wearing the portcullis badge of the arms of the City of Westminster suspended from their necks, one holds a paper inscribed ""Riot Act"". Behind are constables with staves, behind again figures in the doorway, one with a staff. The upper compartment represents the imprisonment of Crosby, the Lord Mayor, and Alderman Oliver. The lower compartment represents the serious riot at Westminster on 27 March, when the Lord Mayor went from the Mansion House to the House of Commons where he was committed to the Tower.",RaceEuphemisms
(OCoLC)ocn954201282,279561,20240722163229.0,"Bretherton, James,approximately 1730-1806,etcher.",Eight heads of artists and amateurs of art[print] /drawn from ye life.,1 print :etching ;image: 11 1/4 x 8 1/16 inches (286 x 205 mm); sheet: 14 x 10 7/8 inches (356 x 276 mm),summary,eminent,"Portraits represent the under-mentioned persons, the names being etched close to the heads. 1. ""--Liegh Esq Lover of Pictures""; this head is in profile to the right and wears a laced cocked hat. 2. ""General Guise a Virtuoso"", in facing 3/4 to the left. 3. ""Demaseau a French Picture Dealer"", facing 3/4 to the left, wearing a large cocked hat and a small queue. 4. ""Duke of A..."" (Argyll), in profile to the right, wearing a military hat, and a pince-nez. 5. ""Chev Manini"", a painter, nearly in full face, looking down, wearing a cocked hat and spectables. 6. ""Doctor Bragg"", a dealer in antiquities and works of art, in profile to the right, with a protruding and pendulous lower lip, wearing a large cocked hat. 7. ""Consr Du..."" (Duane), in profile to the right, wearing a cocked hat. 8. ""Dr. Chauncey"", in profile to the left, looking at a ring, or gem, through a lens, wearing a cocked hat. Mr. Leigh is probably the auctioneer, George Leigh. General Guise was mentioned by H. Walpole in a latter from 1742. The Duke of Argyll is John the fourth, who died November 9, 1770. Manini is probably Gaetano Manini, born in Milan in 1730. Dr. Chauncey is Dr. Charles Chauncy, an eminent collector of antiquities and books.",Aggrandizement
(OCoLC)ocn270842275,185180,20240722163232.0,"Gillray, James,1756-1815.","Effusions of the heart, or, ""Lying-Jack the blacksmith at confession""[print] /[Gillray].","1 print :engraving, hand-colored ;plate mark: 12 7/8 x 9 3/4 inches (327 x 247 mm); image: 12 x 9 1/2 inches (305 x 242 mm); sheet: 13 7/16 x 10 1/4 inches (342 x 260 mm)",summary,Wife,"The three Bow Street Justices sit at a rectangular table (left); Addington in the chair, the scales of Justice, evenly balanced, above his head; on his right and on the extreme left, Bond(?) is writing: 'Wright. W. against [?]...'. The third sits resting his chin on his hands, which are supported on the head of his cane; he gazes fixedly at the culprit. 'Lying-Jack' stands in a rectangular pen formed of posts and rails immediately in front of the justices, his elbows resting on the rail, his hands clasped, his knees bent, tears falling. He says: ""Oh! God dang it, - your Worship, do take bail, your Honor tw'ant my fault please your Majesty, that I com'd the Black-guard over him: - God dang it, didn't he say that his thing was printed before mine? & that all my things were only Copies & piracies? - God dang it, your Worship, Ax Almon ye Bookseller if I was a Blackguard all the while I was a Porter! - or ax ye people where I & Wife kept a small-coal Cellar in Leather Lane if I'm a Blackguard! - God dang it, was I act like a Blackguard when I let that Cooper the Printer, pull me by the Nose, only for saying he was a Liar? - god dang it, your honor, was it like a Blackguard when I offer'd to beg Ridgeway's pardon, after he had kick'd my own Arse in my own Shop? - but I sees how the Booksellers all hates me! & wants to ruin me! - & says I lives by only Copying other peoples works your Worship! - 'tho' I only 'bridges 'em! - yes your Worship, they all hates me; & respires against me: & calls me Lying-Jack, your honor, - & Filching Jack the Plagurist! - & Stock'ee Jack the Informer! your honor - ah Gad dang it! Gad dang it, - they'll be my ruin your Honor! Gad dang it Gott damn. ...[The last words dwindle into illegibility]"" From his pocket hangs a paper: 'Speech of the Lord Chanr of Ireland'. Beside him, outside the dock, is a large bundle of books tied together, the wrapper inscribed 'Ways & Means'; these are: 'Sandford & Merton', 'G Nicol... Abridgd Embassy to China', 'D. Cox', 'Piracy', 'Harpers Pamphlet', 'Philanthropic Society'. Against the bundle lies a porter's knot (a pad for the shoulders attached to a ring which goes over the head) inscribed: 'Lying-Jack his Knot'. With this are the implements of a blacksmith : hammer, pliers, and horse-shoe. On the wall behind him are three bills: 'Lying Jack the Thief Taker'; 'Perjury'; 'Injuntion [sic] of the Court of Chancery agains Lying Jacks copy', and a map: 'Original Map of the Island of St Domingo by W. Faden. Charing Cross.'",GenderTerms
(OCoLC)ocn957274830,184960,20240718184414.0,NULL,"The tryumph of Pitt, or, The man of the people in the dumps[print] :A Song, tune an Ass in the Chaplet.",1 print :etching :image: 301 x 228 mm; plate mark: 318 x 240 mm; sheet: 289 x 211 mm,summary,Indian,"Fox, with a fox's tail, lies prostrate. Pitt strides across him holding up a document inscribed 'A more palatable East India Bill by W. Pitt'; he is saying, ""O my dear Country men look down See how I bestride your prostrate Enimy; I tread on Artfull Fox and all his Schemes"". Fox says: ""My Indian Schemes of wealth & I must fall, But that this Boy should ride me's Worst of all"". Burke (left) stands behind in profile to the right dressed as a Jesuit, his hands together as if in prayer; he says, ""The Lords have pull'd you down may the Lord raise you up again"".",RaceTerms
(OCoLC)on1015904733,411596,20240808182741.0,NULL,The padlock. To be. Or not to be. A queen! is the question[print].,1 print :hand colored etching ;image: 252 x 375 mm; plate mark: 284 x 392 mm; sheet: 301 x 411 mm,summary,famous,"The scene is the churchyard of a country church, a Gothic building partly visible on the extreme right Mrs. Fitzherbert (right), in a riding-habit and a large feathered hat, leads the Prince (left) towards the church door; in her left hand is a riding-switch and a padlock with a chain. She turns to him, saying, ""Oh! fie my dear, let's go unto the Alter; And then you know our conscience cannot falter""; the Prince, in riding-dress, looks towards her, but holds out his hat towards a flat gravestone, on which his right foot rests, saying,""'Twas there the famous Catherine W-----[Wade] And the more famous Taylor laid: Who after strugling hours two; Yielded their breath: let's do so too."" The tombstone is inscribed: Here on this Stone were laid Tom Stitch and Kitty W . . . . Twas here they languishd here they sigh'd And here dear Souls they Four times died. The Prince's friends and satellites peep at the couple from behind tombstones: in the foreground on the extreme right kneels Louis Weltje, and behind a rectangular tomb on the extreme left are the profile heads of Fox and Hanger; Fox says, ""Will they stop in the Porch""; Hanger says, ""And follow the Taylors Example""; near them North, asleep, supports his head on a stone inscribed ""He is not Dead But Sleepeth here"", in the distance (right) a man in riding-dress crouches behind a tomb.",Aggrandizement
(OCoLC)on1015904733,411596,20240808182741.0,NULL,The padlock. To be. Or not to be. A queen! is the question[print].,1 print :hand colored etching ;image: 252 x 375 mm; plate mark: 284 x 392 mm; sheet: 301 x 411 mm,summary,famous,"The scene is the churchyard of a country church, a Gothic building partly visible on the extreme right Mrs. Fitzherbert (right), in a riding-habit and a large feathered hat, leads the Prince (left) towards the church door; in her left hand is a riding-switch and a padlock with a chain. She turns to him, saying, ""Oh! fie my dear, let's go unto the Alter; And then you know our conscience cannot falter""; the Prince, in riding-dress, looks towards her, but holds out his hat towards a flat gravestone, on which his right foot rests, saying,""'Twas there the famous Catherine W-----[Wade] And the more famous Taylor laid: Who after strugling hours two; Yielded their breath: let's do so too."" The tombstone is inscribed: Here on this Stone were laid Tom Stitch and Kitty W . . . . Twas here they languishd here they sigh'd And here dear Souls they Four times died. The Prince's friends and satellites peep at the couple from behind tombstones: in the foreground on the extreme right kneels Louis Weltje, and behind a rectangular tomb on the extreme left are the profile heads of Fox and Hanger; Fox says, ""Will they stop in the Porch""; Hanger says, ""And follow the Taylors Example""; near them North, asleep, supports his head on a stone inscribed ""He is not Dead But Sleepeth here"", in the distance (right) a man in riding-dress crouches behind a tomb.",Aggrandizement
(OCoLC)on1015974860,411678,20240808182743.0,"Stubbs, George Townly,-1815?printmaker,publisher.","Modern defence, or, The siege of Fort Phyllis[print].",1 print :etching ;image: 190 x 255 mm; sheet: 228 x 255 mm,summary,prominent,"Print shows a lady resembling Mrs. Fitzherbert standing on a mound in profile to the left; a young military officer (left) fires a cannon from an embrasure, while another fires a trench-mortar at her from behind. Her dress caricatures the fashion for a projecting bust and a prominent padded rump; she wears a hat with an enormous brim, with her hands tucked into a large fur mutt, and at the foot of the mound, a Cupid uses his arrow to undermine the ground on which she stands. Cf. British Museum catalog.",Aggrandizement
(OCoLC)on1026394119,413132,20240808182745.0,"Byron, Frederick George,1764-1792,printmaker.","English slavery, or, A picture of the times[print].",1 print on 4 sheets :etching ;sheets: 238.5 x 27.3 cm,summary,abolition,"Print shows a series of 11 scenes comprised of caricatures reflecting the public agitation for the abolition of the slave trade, including: Thurlow, in Chancellor's wig and gown, and the King sitting facing each other at a small rectangular table; Queen Charlotte, her hair and shoulders covered with jewels, seated in a small armchair playing a square piano; Mrs. Fitzherbert leading the Prince of Wales by a chain attached to his wrists; Hastings, in oriental dress, seated in a chair, looking to the right, while Pitt stands beside him at left, holding his bared right arm and a basin, which catches the blood from an incision; the Duke of York (left) seated with Fox and Admiral Pigot at a card-table; Lady Archer at a dressing-table painting her face with a monkey sitting on the back of her chair and one of her daughters kneeling behind her with her hands tied behind her back; Miss Farren seated in a chair in profile to the right, holding an open book, looking at Lord Derby who stands legs astride, arms extended, saying, ""I think this attitude will eclipse the Prince's Bow!""; a fat and ugly parson sitting at a circular table eating greedily while the Devil dressed as a cook with cap and apron stands at his back lashing a sucking-pig which he holds by the tail; Burke as an emaciated parson standing in a pulpit; a very slim and foppish young man (Charles Greville?) seated at a dressing-table applying a cosmetic to his cheek; a lady wearing a large feathered hat clasping her hands to her breast and saying (or singing) ""My heart, my good heart, says my Henry is true"", while Prince William claps ecstatically, saying, ""Bravo! bravissimo! encore!!!"".",SlaveryTerms
(OCoLC)on1026394119,413132,20240808182745.0,"Byron, Frederick George,1764-1792,printmaker.","English slavery, or, A picture of the times[print].",1 print on 4 sheets :etching ;sheets: 238.5 x 27.3 cm,summary,slave,"Print shows a series of 11 scenes comprised of caricatures reflecting the public agitation for the abolition of the slave trade, including: Thurlow, in Chancellor's wig and gown, and the King sitting facing each other at a small rectangular table; Queen Charlotte, her hair and shoulders covered with jewels, seated in a small armchair playing a square piano; Mrs. Fitzherbert leading the Prince of Wales by a chain attached to his wrists; Hastings, in oriental dress, seated in a chair, looking to the right, while Pitt stands beside him at left, holding his bared right arm and a basin, which catches the blood from an incision; the Duke of York (left) seated with Fox and Admiral Pigot at a card-table; Lady Archer at a dressing-table painting her face with a monkey sitting on the back of her chair and one of her daughters kneeling behind her with her hands tied behind her back; Miss Farren seated in a chair in profile to the right, holding an open book, looking at Lord Derby who stands legs astride, arms extended, saying, ""I think this attitude will eclipse the Prince's Bow!""; a fat and ugly parson sitting at a circular table eating greedily while the Devil dressed as a cook with cap and apron stands at his back lashing a sucking-pig which he holds by the tail; Burke as an emaciated parson standing in a pulpit; a very slim and foppish young man (Charles Greville?) seated at a dressing-table applying a cosmetic to his cheek; a lady wearing a large feathered hat clasping her hands to her breast and saying (or singing) ""My heart, my good heart, says my Henry is true"", while Prince William claps ecstatically, saying, ""Bravo! bravissimo! encore!!!"".",SlaveryTerms
(OCoLC)on1026394119,413132,20240808182745.0,"Byron, Frederick George,1764-1792,printmaker.","English slavery, or, A picture of the times[print].",1 print on 4 sheets :etching ;sheets: 238.5 x 27.3 cm,summary,oriental,"Print shows a series of 11 scenes comprised of caricatures reflecting the public agitation for the abolition of the slave trade, including: Thurlow, in Chancellor's wig and gown, and the King sitting facing each other at a small rectangular table; Queen Charlotte, her hair and shoulders covered with jewels, seated in a small armchair playing a square piano; Mrs. Fitzherbert leading the Prince of Wales by a chain attached to his wrists; Hastings, in oriental dress, seated in a chair, looking to the right, while Pitt stands beside him at left, holding his bared right arm and a basin, which catches the blood from an incision; the Duke of York (left) seated with Fox and Admiral Pigot at a card-table; Lady Archer at a dressing-table painting her face with a monkey sitting on the back of her chair and one of her daughters kneeling behind her with her hands tied behind her back; Miss Farren seated in a chair in profile to the right, holding an open book, looking at Lord Derby who stands legs astride, arms extended, saying, ""I think this attitude will eclipse the Prince's Bow!""; a fat and ugly parson sitting at a circular table eating greedily while the Devil dressed as a cook with cap and apron stands at his back lashing a sucking-pig which he holds by the tail; Burke as an emaciated parson standing in a pulpit; a very slim and foppish young man (Charles Greville?) seated at a dressing-table applying a cosmetic to his cheek; a lady wearing a large feathered hat clasping her hands to her breast and saying (or singing) ""My heart, my good heart, says my Henry is true"", while Prince William claps ecstatically, saying, ""Bravo! bravissimo! encore!!!"".",RaceTerms
(OCoLC)on1026394119,413132,20240808182745.0,"Byron, Frederick George,1764-1792,printmaker.","English slavery, or, A picture of the times[print].",1 print on 4 sheets :etching ;sheets: 238.5 x 27.3 cm,summary,Miss,"Print shows a series of 11 scenes comprised of caricatures reflecting the public agitation for the abolition of the slave trade, including: Thurlow, in Chancellor's wig and gown, and the King sitting facing each other at a small rectangular table; Queen Charlotte, her hair and shoulders covered with jewels, seated in a small armchair playing a square piano; Mrs. Fitzherbert leading the Prince of Wales by a chain attached to his wrists; Hastings, in oriental dress, seated in a chair, looking to the right, while Pitt stands beside him at left, holding his bared right arm and a basin, which catches the blood from an incision; the Duke of York (left) seated with Fox and Admiral Pigot at a card-table; Lady Archer at a dressing-table painting her face with a monkey sitting on the back of her chair and one of her daughters kneeling behind her with her hands tied behind her back; Miss Farren seated in a chair in profile to the right, holding an open book, looking at Lord Derby who stands legs astride, arms extended, saying, ""I think this attitude will eclipse the Prince's Bow!""; a fat and ugly parson sitting at a circular table eating greedily while the Devil dressed as a cook with cap and apron stands at his back lashing a sucking-pig which he holds by the tail; Burke as an emaciated parson standing in a pulpit; a very slim and foppish young man (Charles Greville?) seated at a dressing-table applying a cosmetic to his cheek; a lady wearing a large feathered hat clasping her hands to her breast and saying (or singing) ""My heart, my good heart, says my Henry is true"", while Prince William claps ecstatically, saying, ""Bravo! bravissimo! encore!!!"".",GenderTerms
(OCoLC)ocn897507742,411214,20240815155354.0,"Sayers, James,1748-1823.","Galante show redeunt spectacula mane[print] :Tuesdays, Wednesdays and Thursdays /JS f.",1 print :aquatint and line etching ;image: 163 x 146 mm; plate mark: 164 x 149 mm; sheet: 172 x 158 mm,summary,oriental,"Print shows Burke (three quarter length) as a showman bending over his magic lantern in profile to the right. In the upper part of the design is a draped sheet on which are the objects thrown by the lantern. These are (left to right): [1] an oddly shaped elephant chained to a stake inscribed ""A Benares Flea"". [2] Three mountains piled one upon the other, inscribed respectively, ""Ossa"", ""Pelion"", ""Olympus""; the whole is ""A Begum Wart"". [3] Four large eyes dripping tears float half-submerged in the water they have produced, inscribed, ""Begums Tears"". [4] A whale spouting is ""An Ouzle"". From the right side of the magic lantern the end of a slider emerges; on it is an oriental seated cross-legged and smoking. Next the lantern (right) are the heads and shoulders of two spectators in back view who are applauding; one says ""finely imagined""; the other, ""poor Ladies they have cried their Eyes out"". The ""profil perdu"" of Lord Derby appears on the extreme right, saying, ""very like an Ouzle"". Cf. BM Satires.",RaceTerms
(OCoLC)ocn897507755,411215,20240815155354.0,"Sayers, James,1748-1823.",The princess's bow alias the Bow Begum[print] /JS f.,1 print on laid paper :etching ;image: 205 x 279 mm; plate mark: 227 x 289 mm; sheet: 227 x 291 mm,summary,Indian,"An elderly Indian princess, seated on a stool in profile to the left, her hands deprecatingly extended, receives the obeisance of Burke, Fox, and Sheridan. She says, ""dear Gentlemen this is too much now you really distress me exceedingly"". Burke kneels at her feet, head bent down, supporting himself on his left hand; his right hand is on his breast; he frowns, his spectacles are on his forehead. He is between Sheridan and Fox. Fox stands full-face, holding his hat to his breast; his bow is less low. On the right seven bag-wigs are in positions corresponding to those that they would take if on the heads of persons making low bows to the Begum. Below them are three swords whose hilts are decorated with large ribbon bows or favours, also as if worn by invisible persons doing homage to the Begum. Under the Begum's seat appear the head and arms of Francis as if emerging from the ground; he fixes Burke and the others with a conspiratorial stare, his finger across his lips, saying, ""I am at the Bottom of it."" Behind and above the Begum's head is a picture of a row of conical mountains; a mouse issues from a hole in the nearest mountain. The frame is inscribed 'Parturiunt Montes nascetur ridiculus mus'. Cf. BM Satires.",RaceTerms
(OCoLC)ocn897507646,411217,20240815155354.0,"Sayers, James,1748-1823.",The first charge-exit in Fumo-[print] /JS f.,1 print on laid paper :etching ;image: 146 x 150 mm; plate mark: 165 x 155 mm; sheet: 170 x 161 mm,summary,Indian,"A design divided by a vertical line on one side of which is Burke (right) declaiming with raised arms and downcast head; on the other (left) a scene in India illustrating his speech. An Indian, Chait Singh, looks over a high stone wall whose parapet is decorated with plants in vases, saying, ""Gadzooker He has taken my Hooker"". On the ground beneath the wall are two hookahs puffing out smoke, and the leg of a seated soldier visible at right. Burke, facing right, exclaims, ""Guilty of not suffering him to smoke for the space of two Days."" Cf. BM Satires.",RaceTerms
